Game Category,Price,Avg. Game Score,Total Reviews,Total Installs,Total Download Revenue ($)
GAME_ACTION,0.99,4.5,693496,12150000,12028500.0
GAME_ACTION,1.99,3.8,49874,500000,995000.0
GAME_ACTION,2.49,4.1,1673,50000,124500.0
GAME_ACTION,2.99,4.542857142857143,204059,1505000,4499950.0
GAME_ACTION,3.99,4.5,4537,50000,199500.0
GAME_ACTION,4.99,4.16,156739,1400000,6986000.0
GAME_ACTION,6.99,4.175,430906,1300000,9087000.0
GAME_ADVENTURE,0.99,4.2,18633,1000000,990000.0
GAME_ADVENTURE,1.49,4.35,6016,60000,89400.0
GAME_ADVENTURE,1.99,4.6,14414,200000,398000.0
GAME_ADVENTURE,2.99,4.58,14619,175000,523250.0
GAME_ADVENTURE,3.99,4.2,11099,200000,798000.0
GAME_ADVENTURE,4.99,4.277777777777778,330108,2460000,12275400.0
GAME_ADVENTURE,6.99,4.466666666666667,24379,155000,1083450.0
GAME_ADVENTURE,20.99,4.4,7395,100000,2099000.0
GAME_ARCADE,0.99,4.242857142857143,180746,2610000,2583900.0
GAME_ARCADE,1.49,4.7,5438,50000,74500.0
GAME_ARCADE,1.99,4.666666666666667,652974,1011000,2011890.0
GAME_ARCADE,2.49,4.5,13833,100000,249000.0
GAME_ARCADE,2.99,4.0249999999999995,53536,301000,899990.0
GAME_ARCADE,3.75,4.5,35008,500000,1875000.0
GAME_ARCADE,3.99,4.4,49675,1220000,4867800.0
GAME_ARCADE,4.99,4.25,199832,2000000,9980000.0
GAME_ARCADE,6.99,4.5,2590624,10000000,69900000.0
GAME_BOARD,1.99,4.375,31676,260000,517400.0
GAME_BOARD,2.99,4.15,25472,565000,1689350.0
GAME_BOARD,3.49,4.0,9666,130000,453700.0
GAME_BOARD,3.99,4.55,10968,110000,438900.0
GAME_BOARD,4.99,4.357142857142858,63003,950000,4740500.0
GAME_BOARD,6.99,4.2,2179,30000,209700.0
GAME_BOARD,9.99,4.9,5942,10000,99900.0
GAME_CARD,0.99,4.25,1768,10500,10395.0
GAME_CARD,1.99,4.459999999999999,33533,130500,259695.0
GAME_CARD,2.99,4.6000000000000005,353953,1972000,5896280.0
GAME_CARD,3.99,4.65,14180,111000,442890.0
GAME_CARD,4.99,4.333333333333333,36920,115000,573850.0
GAME_CASINO,0.99,4.2666666666666675,829,12265,12142.35
GAME_CASINO,1.49,4.25,264,10100,15049.0
GAME_CASINO,1.99,4.1000000000000005,908,8605,17123.95
