,Game Title,Game Category,Game Score,Number of Reviews,Price,Number of Installs,Developer,Play Store URL
0,Grand Theft Auto: San Andreas,GAME_ACTION,4.3,386098,$6.99,1000000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.gtasa
1,Five Nights at Freddy's,GAME_ACTION,4.6,103710,$2.99,1000000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys
2,Hitman Sniper,GAME_ACTION,4.6,588965,$0.99,10000000,SQUARE ENIX Ltd,https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid
3,Five Nights at Freddy's: SL,GAME_ACTION,4.5,17278,$2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.sisterlocation
4,Assassin's Creed Identity,GAME_ACTION,3.8,49799,$1.99,500000,Ubisoft Entertainment,https://play.google.com/store/apps/details?id=com.ubisoft.assassinscreed.identity
5,Call of Duty:Black Ops Zombies,GAME_ACTION,4.2,13962,$6.99,100000,"Activision Publishing, Inc.",https://play.google.com/store/apps/details?id=com.activision.boz
6,Five Nights at Freddy's 4,GAME_ACTION,4.6,21557,$2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf4
7,Grand Theft Auto III,GAME_ACTION,4.0,96564,$4.99,1000000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstar.gta3
8,Downwell,GAME_ACTION,4.7,4535,$2.99,100000,DevolverDigital,https://play.google.com/store/apps/details?id=com.devolver.downwell
9,truTV Impractical Jokers Wheel of Doom,GAME_ACTION,4.2,133,$2.99,5000,truTVnetwork,https://play.google.com/store/apps/details?id=com.turner.trutv.wheelofdoom
10,Five Nights at Freddy's 3,GAME_ACTION,4.7,28201,$2.99,100000,Scott Cawthon,https://play.google.com/store/apps/details?id=com.scottgames.fnaf3
11,Teen Titans GO Figure!,GAME_ACTION,4.5,4508,$3.99,50000,Cartoon Network,https://play.google.com/store/apps/details?id=com.turner.ttgfigures2
12,Bully: Anniversary Edition,GAME_ACTION,4.5,13387,$6.99,100000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.bully
13,Real Steel,GAME_ACTION,4.1,26144,$0.99,500000,Reliance Big Entertainment (UK) Private Limited,https://play.google.com/store/apps/details?id=com.jumpgames.RealSteel
14,Slaughter 2: Prison Assault,GAME_ACTION,4.1,1630,$0.99,50000,Ray Spark,https://play.google.com/store/apps/details?id=com.venomizedArt.Slaughter2
15,LEGO® Star Wars™:  TCS,GAME_ACTION,3.7,16775,$6.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.lego.tcs
16,GTA: Chinatown Wars,GAME_ACTION,4.3,25375,$4.99,100000,Rockstar Games,https://play.google.com/store/apps/details?id=com.rockstargames.gtactw
17,Shadow of Death: Stickman Fighting - Dark Knight,GAME_ACTION,4.6,58268,$0.99,1000000,Zonmob Game Studio,https://play.google.com/store/apps/details?id=com.Zonmob.Stickman.FightingGames.ShadowOfDeath
18,Bloons Supermonkey 2,GAME_ACTION,4.6,15549,$0.99,500000,ninja kiwi,https://play.google.com/store/apps/details?id=com.ninjakiwi.supermonkey
19,The Sun: Origin,GAME_ACTION,4.0,10308,$0.99,100000,AGaming+,https://play.google.com/store/apps/details?id=com.agaming.thesun.origin
20,LEGO ® Marvel Super Heroes,GAME_ACTION,4.1,16423,$4.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.lego.marvel
21,Stickman Ghost 2: Gun Sword - Shadow Action RPG,GAME_ACTION,4.5,1711,$0.99,100000,Unimob,https://play.google.com/store/apps/details?id=com.unimob.stickman.ghost2.pay
22,Zombieville USA 2,GAME_ACTION,4.6,1391,$0.99,50000,Mika Mobile,https://play.google.com/store/apps/details?id=com.MikaMobile.Zombieville2
23,PPSSPP Gold - PSP emulator,GAME_ACTION,4.3,11127,$4.99,100000,Henrik Rydgård,https://play.google.com/store/apps/details?id=org.ppsspp.ppssppgold
24,Oddworld: Stranger's Wrath,GAME_ACTION,4.5,28535,$2.99,100000,Oddworld Inhabitants Inc,https://play.google.com/store/apps/details?id=com.oddworld.Stranger
25,Terraria.,GAME_ADVENTURE,4.3,230946,$4.99,1000000,505 Games Srl,https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid
26,THE GALAXY: SURVIVOR,GAME_ADVENTURE,4.3,3060,$1.49,10000,Invictus Studio,https://play.google.com/store/apps/details?id=com.ProjectTheGalaxy
27,Bendy and the Ink Machine,GAME_ADVENTURE,4.2,1000,$6.99,5000,Joey Drew Studios,https://play.google.com/store/apps/details?id=com.jds.batim
28,60 Seconds! Atomic Adventure,GAME_ADVENTURE,3.9,5659,$3.99,100000,Robot Gentleman,https://play.google.com/store/apps/details?id=com.robotgentleman.game60seconds
29,Don't Starve: Pocket Edition,GAME_ADVENTURE,4.4,22180,$4.99,500000,Klei Entertainment Inc.,https://play.google.com/store/apps/details?id=com.kleientertainment.doNotStarvePocket
30,7Days - Decide your story,GAME_ADVENTURE,4.8,917,$0.99,10000,"Buff Studio Co.,Ltd.",https://play.google.com/store/apps/details?id=com.buffstudio.sevendays
31,Angry Neighbor,GAME_ADVENTURE,4.4,2837,$0.99,50000,Invictus Studio,https://play.google.com/store/apps/details?id=com.AngryNeighbor
32,LEGO® Jurassic World™,GAME_ADVENTURE,4.4,13624,$4.99,100000,Warner Bros. International Enterprises,https://play.google.com/store/apps/details?id=com.wb.goog.legojurassicworld
33,Octodad: Dadliest Catch,GAME_ADVENTURE,4.4,4410,$4.99,100000,Young Horses,https://play.google.com/store/apps/details?id=com.younghorses.octodad
34,Portal Knights,GAME_ADVENTURE,4.3,5493,$4.99,50000,505 Games Srl,https://play.google.com/store/apps/details?id=com.and.games505.portal_knights
35,Legend of the Skyfish,GAME_ADVENTURE,4.2,1158,$3.99,50000,Crescent Moon Games,https://play.google.com/store/apps/details?id=com.crescentmoongames.skyfish
36,Crashlands,GAME_ADVENTURE,4.8,13196,$6.99,100000,Butterscotch Shenanigans,https://play.google.com/store/apps/details?id=com.bscotch.crashlands
